1.134999999999999964e+01,1.134999999999999964e+01,1.134999999999999964e+01
1.134999999999999964e+01,1.134999999999999964e+01,1.134999999999999964e+01
1.134999999999999964e+01,1.832000000000000028e+01,1.467400000000000126e+01
5.624800000000000466e+01,8.041599999999999682e+01,8.598799999999999955e+01
9.207200000000000273e+01,9.481000000000001648e+01,9.531199999999999761e+01
9.361600000000001387e+01,9.780799999999999272e+01,9.807999999999999829e+01
9.378000000000000114e+01,9.791400000000000148e+01,9.811999999999999034e+01
9.394599999999999795e+01,9.783399999999998897e+01,9.807399999999998386e+01
9.394800000000000750e+01,9.787800000000000011e+01,9.819400000000000261e+01
9.382399999999999807e+01,9.804999999999998295e+01,9.823600000000001842e+01
9.384200000000001296e+01,9.808600000000001273e+01,9.835999999999998522e+01
9.402799999999999159e+01,9.818399999999999750e+01,9.839799999999999613e+01
9.403200000000001069e+01,9.822400000000000375e+01,9.843000000000000682e+01
9.401399999999999579e+01,9.824599999999999511e+01,9.845000000000000284e+01
9.400199999999999534e+01,9.828999999999999204e+01,9.850999999999999091e+01
