6.256458732423197944e-05,6.724986542394617572e-05,8.778235278441570157e-05
1.873502570379059718e-03,2.545559342252090573e-03,3.402082389220595273e-03
1.112335326615720987e-02,1.900678491219878058e-02,2.963807042688131402e-02
1.034468352794647161e-01,3.080118142068385967e-01,5.701796054840088113e-01
4.208434162139893431e+01,8.222497053146362589e+01,2.258033969879150504e+02
4.257190991210937682e+03,9.393131002807616824e+03,1.335644982910156250e+04
6.174494152832031432e+03,1.301487437744140698e+04,1.466331728515625036e+04
5.098160314941405886e+03,1.612664361877441479e+04,1.874359990234375073e+04
7.103232116699218750e+03,1.560957347412109448e+04,2.156521982421875146e+04
9.999330310058594478e+03,3.491178801269530959e+04,4.099077329101562646e+04
1.707218044433593604e+04,9.267915800781249709e+04,1.252540949218750029e+05
4.088267597656250291e+04,3.770021230468750000e+05,4.021581171875000000e+05
4.250119374999999854e+04,6.819201450195312500e+05,8.664909570312500000e+05
4.719592636718750146e+04,1.564620797363281250e+06,1.686471056249999907e+06
4.721094238281250000e+04,8.234004444921875373e+06,1.295301394374999963e+07
